time_sec,time_nanosec,q_x,q_y,q_z,q_w,av_x,av_y,av_z,la_x,la_y,la_z,mag_x,mag_y,mag_z
1729525345,441282744,0.00386495671309282,0.00102599129488207,0.998572031224685,0.0532720180514686,-0.000502,-0.000424,0.001365,-0.078,-0.078,-0.078,-0.4089,-0.0559,0.5939
1729525345,451088904,0.00387404551001197,0.00103457858993604,0.998576634669514,0.0531848297039331,0.000192,-0.000514,0.00047,-0.08,-0.08,-0.08,-0.4099,-0.0547,0.5817
1729525345,480133940,0.00386567697900061,0.00104419557661363,0.998582685417304,0.0530715232667806,-0.000247,-0.001065,0.000246,-0.068,-0.068,-0.068,-0.4077,-0.0548,0.5899
1729525345,508751137,0.00387428193167145,0.00104413807699093,0.99858820496114,0.0529669390061293,0.001275,0.000134,-0.000876,-0.079,-0.079,-0.079,-0.4089,-0.0571,0.5925
1729525345,533564745,0.00389114902794474,0.00103487266623342,0.998593228424399,0.0528710898577289,0.00083,-0.003538,-0.000262,-0.11,-0.11,-0.11,-0.409,-0.0607,0.5993
1729525345,558205343,0.00389063390564201,0.00102636201085381,0.99859600437406,0.0528188375203031,-0.000218,0.000609,-0.000497,-0.073,-0.073,-0.073,-0.4078,-0.0571,0.5939
1729525345,579734360,0.00388139638422648,0.00101834573278394,0.99859927073535,0.0527578830214372,0.000386,0.001142,0.000464,-0.058,-0.058,-0.058,-0.4079,-0.0619,0.5886
1729525345,611673700,0.00388957113085884,0.00100947631894494,0.998603387311721,0.0526794745943482,0.000272,0.001178,-0.000143,-0.077,-0.077,-0.077,-0.4078,-0.056,0.598
1729525345,640628890,0.00387987660932901,0.000992744207310929,0.998606653723543,0.0526185533391245,-0.000659,0.000633,-0.000205,-0.081,-0.081,-0.081,-0.4078,-0.0571,0.5859
1729525345,698207606,0.00387983328899804,0.000992913497919363,0.998608948690448,0.0525749808539497,-0.001591,-0.003949,-0.000492,-0.11,-0.11,-0.11,-0.4066,-0.056,0.5806
1729525345,703335452,0.00387973795826898,0.00099328593060337,0.998613990925371,0.0524791210343464,-0.000842,0.000846,-0.000128,-0.063,-0.063,-0.063,-0.4089,-0.0583,0.5939
1729525345,757622376,0.0038791940565634,0.000984909906809478,0.998618575423163,0.0523920091784899,0.000492,0.001392,0.000218,-0.048,-0.048,-0.048,-0.4088,-0.0548,0.5858
1729525345,764230706,0.00387954718956016,0.000994030768509526,0.998624047789455,0.0522873999452885,-0.000701,-0.000053,0.002251,-0.047,-0.047,-0.047,-0.4099,-0.0512,0.583
1729525345,775106018,0.00387115749640095,0.00100370852275052,0.998630907645386,0.0521566582920413,0.001815,0.003509,0.000732,-0.082,-0.082,-0.082,-0.4077,-0.056,0.5859
1729525345,783286875,0.00388023018336913,0.00101234046833268,0.998635868202748,0.052060750277377,0.001965,0.001193,0.000848,-0.046,-0.046,-0.046,-0.4099,-0.0536,0.5803
1729525345,803239128,0.00388009763506874,0.0010128483806014,0.998642674383326,0.051930028702262,0.000515,0.003003,0.000502,-0.113,-0.113,-0.113,-0.4087,-0.0489,0.5857
1729525345,827289629,0.00388041705435822,0.00102207113608181,0.998649454571205,0.0517992723762852,-0.000072,-0.001685,0.001025,-0.102,-0.102,-0.102,-0.4088,-0.0536,0.575
1729525345,860042443,0.00387985003369365,0.00101379643706234,0.998655333470954,0.0516860127163836,-0.000801,-0.000443,0.00056,-0.116,-0.116,-0.116,-0.4077,-0.0548,0.5885
1729525345,882137090,0.0038797084431881,0.00101433815643891,0.998662540465073,0.0515465736237207,0.001166,0.000047,0.001531,-0.104,-0.104,-0.104,-0.4099,-0.0524,0.5843
1729525345,903925740,0.00387959334520862,0.00101477828887194,0.998668381811905,0.0514332786208509,0.000086,-0.001882,-0.000704,-0.102,-0.102,-0.102,-0.4065,-0.0513,0.5832
1729525345,949511561,0.00387076312474181,0.00101566634035743,0.998674243036008,0.0513199952374721,-0.000837,0.000335,-0.001211,-0.092,-0.092,-0.092,-0.4088,-0.0548,0.5831
1729525345,954176543,0.00386240645535569,0.00102516641193851,0.998678741494775,0.0512328228444713,-0.000312,-0.000395,0.000498,-0.12,-0.12,-0.12,-0.4076,-0.0489,0.5831
1729525345,988835086,0.00385317324998927,0.00101716747193593,0.998682357277457,0.0511631477626317,-0.001302,0.000835,0.000899,-0.05,-0.05,-0.05,-0.4088,-0.0512,0.5911
1729525346,3153544,0.00385261233707112,0.00100888939573613,0.998688163968126,0.051049884136412,-0.000578,-0.000519,0.001099,-0.062,-0.062,-0.062,-0.4065,-0.0536,0.5738
1729525346,33468659,0.00385207081506526,0.00100054397422922,0.99869306857333,0.0509540503373142,-0.000387,0.000571,0.001335,-0.019,-0.019,-0.019,-0.4088,-0.0512,0.5857
1729525346,61182267,0.00384236324203591,0.000983960605020864,0.998698448834091,0.0508495463364614,-0.000456,-0.001228,0.0003,-0.096,-0.096,-0.096,-0.4076,-0.0501,0.5871
1729525346,76241661,0.00384227736064404,0.000984295910721951,0.998702882491357,0.0507623932621175,0.000855,-0.002132,-0.000284,-0.085,-0.085,-0.085,-0.4066,-0.0548,0.5873
1729525346,152910453,0.0038421656710901,0.000984731796926697,0.99870863487549,0.0506490936876362,0.000789,0.000178,0.001406,-0.067,-0.067,-0.067,-0.4088,-0.0524,0.5804
1729525346,158280051,0.00385168634980345,0.0010020229894477,0.998712559902582,0.0505705759807401,0.000344,-0.000798,0.000439,-0.079,-0.079,-0.079,-0.4099,-0.0512,0.5843
1729525346,163303261,0.00386119543882074,0.00101934937725035,0.998716918980076,0.0504833421989361,0.00073,0.002377,0.000959,-0.109,-0.109,-0.109,-0.4077,-0.0536,0.5885
1729525346,177634693,0.0038793989277873,0.00103630526828054,0.998722116764896,0.0503786643331796,-0.00065,-0.003764,0.002334,-0.078,-0.078,-0.078,-0.4076,-0.0501,0.5831
1729525346,201375100,0.00388014943363311,0.00105421031491998,0.998728245978923,0.0502565793190219,0.00023,0.000123,0.000879,-0.071,-0.071,-0.071,-0.4077,-0.056,0.5832
1729525346,273971882,0.00388918298816795,0.00106292842878507,0.998733898936905,0.0501432303818601,-0.001298,-0.000073,0.000548,-0.076,-0.076,-0.076,-0.4077,-0.0548,0.5858
1729525346,278833099,0.00388083012210702,0.00107235262825162,0.998737420643412,0.050073484240137,-0.001584,-0.000013,0.000026,-0.072,-0.072,-0.072,-0.4065,-0.0501,0.5845
1729525346,284486020,0.00388075524831331,0.0010726235586915,0.998740913998219,0.0500037590927552,-0.000225,-0.000982,0.001334,-0.081,-0.081,-0.081,-0.4098,-0.0477,0.5856
1729525346,303018525,0.00386319275767639,0.00107396844342565,0.998747081030199,0.0498817648761187,-0.000408,0.013363,0.002279,-0.012,-0.012,-0.012,-0.4065,-0.0513,0.5818
1729525346,327063432,0.00387138952276362,0.00106512140821592,0.998750972337419,0.0498033444118894,0.000353,0.00373,0.000525,-0.107,-0.107,-0.107,-0.4088,-0.0548,0.5844
